"id","apelido","posicao_id"
"42222","Osvaldo","5"
"37919","Luis Fabiano","5"
"50347","Alan Kardec","5"
"86842","Ewandro","5"
"74085","Ademilson","5"
"49675","Alexandre Pato","5"
"78241","Pabón","5"
"73896","Geuvânio","5"
"68953","Leandro Damião","5"
"68929","Thiago Ribeiro","5"
"83255","Giva","5"
"87191","Jorge Eduardo","5"
"86837","Diego Cardoso","5"
"87101","Stéfano Yuri","5"
"73025","Geovane","5"
"38246","Robinho","5"
"73635","Rildo","5"
"83257","Gabriel","5"
"84918","Rafael Ratão","5"
"80536","Victor Andrade","5"
"79947","Marion","5"
"63219","Luan","5"
"68690","André","5"
"38231","Diego Tardelli","5"
"50294","Guilherme","5"
"38138","Jô","5"
"80381","Cesinha","5"
"85027","Carlos","5"
"88064","Marcos Vinícius","5"
"68807","Neto Berola","5"
"37941","Borges","5"
"42116","Willian","5"
"60788","Marquinhos","5"
"50358","Marcelo Moreno","5"
"37613","Dagoberto","5"
"83772","Neilton","5"
"89190","Judivan ","5"
"89444","Hugo Ragelli","5"
"70218","Ernesto Farías","5"
"60834","Luan","5"
"68920","Dudu","5"
"82632","Lucas Coelho","5"
"86759","Luan","5"
"78379","Barcos","5"
"68758","Fernandinho","5"
"86757","Everton","5"
"89341","Nicolas Careca","5"
"89468","Erik","5"
"88480","Ronan","5"
"40179","Kleber","5"
"37655","Rafael Moura","5"
"70360","Eduardo Sasha","5"
"88780","Leandro","5"
"38108","Jorge Henrique","5"
"38279","Wellington Paulista","5"
"85930","Aylon","5"
"80403","Maurides","5"
"37653","Nilmar","5"
"86512","Bruno Gomes","5"
"80568","Willie","5"
"85607","Léo Ceará","5"
"80777","Wellington","5"
"50418","Dinei","5"
"80188","Marcos Junior","5"
"70928","William Henrique","5"
"78694","Guillermo Beltrán","5"
"80774","Alan Pinheiro","5"
"38602","Edno","5"
"68917","Vinícius","5"
"68883","Caio","5"
"68968","Adailton","5"
"72046","Rômulo","5"
"71799","Silvinho","5"
"86932","Gustavo","5"
"80537","Michael","5"
"61149","Lucca","5"
"37762","Souza","5"
"88782","Andrew","5"
"38613","Zé Carlos","5"
"83614","Bruno Lopes","5"
"82625","Maurinho","5"
"89884","Kalil","5"
"38362","Rodrigo Silva","5"
"87935","Cristiano","5"
"80769","Fernando Karanga","5"
"79345","Danilo Alves","5"
"89898","Roger","5"
"50909","Bruno Mineiro","5"
"71041","Assuério","5"
"74087","Léo Bonatini","5"
"82737","Welinton Junior","5"
"84848","Erik","5"
"73806","Samuel ","5"
"78236","Danilo","5"
"36792","Araújo","5"
"72389","Mike","5"
"60825","Felipe Azevedo","5"
"61135","Ananias","5"
"42118","Neto Baiano","5"
"87741","Joelinton","5"
"83511","Érico Júnior","5"
"37848","Leonardo","5"
"69703","Diego Maurício","5"
"81151","Sandrinho","5"
"82408","Bruninho","5"
"89694","James Dean","5"
"86189","Mosquito","5"
"77579","Dellatorre","5"
"38525","Cléo","5"
"82469","Douglas Coutinho ","5"
"78558","Romulo Cabral","5"
"88850","Marco Damasceno ","5"
"69022","Marcelo","5"
"78977","Bruno Mendes","5"
"84098","Gustavo","5"
"86767","Dominic","5"
"84190","Guilherme","5"
"73446","Éderson","5"
"73009","Crislan","5"
"79228","Bruno Furlan","5"
"41357","Adriano","5"
"80280","Taiberson","5"
"74086","Pedro Paulo ","5"
"82787","Joel","5"
"88915","Douglas ","5"
"38960","Zé Eduardo","5"
"50880","Keirrison","5"
"70759","Martinuccio","5"
"83439","Maykon","5"
"40904","Julio Cesar","5"
"70055","Geraldo","5"
"80572","Alex Santos","5"
"86491","Jonatha Fumaça","5"
"50413","Anderson Aquino","5"
"68893","André Lima","5"
"51683","Bruno Rangel","5"
"51193","Fabinho Alves","5"
"87585","Mailson","5"
"62119","Tiago Luis","5"
"88069","Leonardo Cabeça","5"
"86334","Roni","5"
"68696","Bergson","5"
"89445","Yuri","5"
"41126","Rodrigo Gral","5"
"78968","Leandro","5"
"63326","Rychely ","5"
"78756","Alemão","5"
"80321","Neílson","5"
"68974","Marcão","5"
"69138","Pablo","5"
"50366","Jean Carlos","5"
"69048","Mazola","5"
"77809","William Pottker","5"
"78117","Everaldo","5"
"86419","Jonathan","5"
"62012","Ciro","5"
"73055","Bruno Fornaroli","5"
"81770","Clayton","5"
"85210","Jonatan Ponciano","5"
"69141","Ricardo Bueno","5"
"73563","Lúcio Maranhão","5"
"78967","Dudu","5"
"50326","Éverton Santos","5"
"72504","Denilson","5"
"41327","Vanderlei Luxemburgo","6"
"79019","Jayme De Almeida","6"
"39850","Vagner Mancini","6"
"86229","Eduardo Hungaro","6"
"37281","Mano Menezes","6"
"88899","Charles Fabian","6"
"37306","Gilson Kleina","6"
"71100","Márcio Araújo","6"
"60752","Cristóvão Borges","6"
"40990","Dorival Júnior","6"
"73948","Ricardo Gareca","6"
"84863","Alberto Valentim","6"
"36934","Muricy Ramalho","6"
"62137","Enderson Moreira","6"
"36940","Oswaldo De Oliveira","6"
"40025","Levir Culpi","6"
"36943","Paulo Autuori","6"
"62136","Marcelo Oliveira","6"
"43618","Luiz Felipe Scolari","6"
"88898","André Jardine","6"
"40006","Abel Braga","6"
"37246","Ney Franco","6"
"89100","Éder Bastos","6"
"88617","Carlos Amadeu","6"
"37592","Toninho Cecílio","6"
"72742","Wagner Lopes","6"
"41946","Caio Júnior","6"
